"","Date","Open","High","Low","Close","Adjusted_close","Volume"
"231","2018-09-05",236.735,236.735,234.99,234.99,234.99,129
"232","2018-09-04",238.25,238.25,237.35,237.35,237.35,0
"233","2018-09-03",237.275,237.275,237.215,237.215,237.215,0
"234","2018-08-31",235.4,236.56,235.4,236.56,236.56,0
"235","2018-08-30",235.54,236.305,235.54,236.305,236.305,1054
"236","2018-08-29",235.48,235.97,235.48,235.97,235.97,547
"237","2018-08-28",235.165,235.165,234.33,234.33,234.33,568
"238","2018-08-27",235.4,235.4,234.935,235.03,235.03,664
"239","2018-08-24",234.22,234.265,233.8,234.265,234.265,5
"240","2018-08-23",234.225,234.6,233.82,233.82,233.82,20
"241","2018-08-22",233.72,234.185,233.72,234.185,234.185,5
"242","2018-08-21",235.05,235.7,235.05,235.545,235.545,1
"243","2018-08-20",236.855,236.855,236.325,236.325,236.325,0
"244","2018-08-17",236.595,236.595,235.84,235.84,235.84,0
"245","2018-08-16",235.51,236.495,235.51,236.495,236.495,547
"246","2018-08-15",236.905,236.905,234.86,235.415,235.415,47
"247","2018-08-14",235.12,236.605,235.12,236.605,236.605,7
"248","2018-08-13",235.035,235.565,235.035,235.11,235.11,46
"249","2018-08-10",234.49,235.76,234.49,235.76,235.76,248
"250","2018-08-09",233.04,233.96,233.04,233.96,233.96,1303
"251","2018-08-08",232.885,233.21,232.885,233.21,233.21,201
"252","2018-08-07",233.425,233.425,233.335,233.335,233.335,0
"253","2018-08-06",232.715,232.8,232.55,232.8,232.8,48
"254","2018-08-03",230.925,231.39,230.925,231.14,231.14,99
"255","2018-08-02",227.875,229.185,227.75,229.185,229.185,1171
"256","2018-08-01",228.31,228.31,228.21,228.21,228.21,0
"257","2018-07-31",226.33,227.515,226.33,227.515,227.515,6831
"258","2018-07-30",228.195,228.195,226.815,226.815,226.815,560
"259","2018-07-27",230.93,231.09,230.07,230.095,230.095,2767
"260","2018-07-26",228.73,230.465,228.73,230.465,230.465,580
"261","2018-07-25",227.935,228.985,227.935,228.985,228.985,3049
"262","2018-07-24",228.22,228.42,227.875,228.42,228.42,49
"263","2018-07-23",225.9,226.72,225.9,226.72,226.72,0
"264","2018-07-20",227.79,227.79,227.13,227.13,227.13,0
"265","2018-07-19",228.86,229.135,228.86,229.135,229.135,0
"266","2018-07-18",228.77,228.88,228.77,228.88,228.88,0
"267","2018-07-17",225.355,227.025,225.355,227.025,227.025,0
"268","2018-07-16",226.99,226.99,226.245,226.245,226.245,15
"269","2018-07-13",227.82,228.1,227.5,227.5,227.5,40
"270","2018-07-12",225.5,226.115,225.5,226.115,226.115,20
"271","2018-07-11",223.8,224.315,223.8,224.315,224.315,50
"272","2018-07-10",224.735,225.945,224.735,225.28,225.28,90
"273","2018-07-09",222.97,223.915,222.97,223.915,223.915,100
"274","2018-07-06",221.44,222.08,221.44,222.08,222.08,82
"275","2018-07-05",219.98,221.015,219.98,220.585,220.585,107
"276","2018-07-04",220.365,221.085,220.365,221.085,221.085,0
"277","2018-07-03",221.725,222.325,221.725,221.765,221.765,73
"278","2018-07-02",219.7,220.86,219.7,220.86,220.86,0
"279","2018-06-29",221.83,222.03,221.67,222.03,222.03,100
"280","2018-06-28",222.07,222.13,220.25,221.34,221.34,3344
"281","2018-06-27",220.495,223.51,220.495,223.04,223.04,2079
"282","2018-06-26",220.495,220.64,220.495,220.64,220.64,0
"283","2018-06-25",222.94,222.94,219.285,219.285,219.285,150
"284","2018-06-22",NA,NA,NA,NA,0,NA
"285","2018-06-21",227.475,227.475,224.595,224.895,224.895,1282
"286","2018-06-20",226.63,226.63,226.095,226.095,226.095,1500
"287","2018-06-19",223.94,225.24,223.94,225.24,225.24,0
"288","2018-06-18",226.325,226.325,225.86,225.86,225.86,1925
"289","2018-06-15",227.85,227.85,225.26,225.26,225.26,3568
"290","2018-06-14",221.815,226.645,221.815,226.11,226.11,396
"291","2018-06-13",224.365,224.365,224.09,224.09,224.09,70
"292","2018-06-12",223.775,223.775,223.38,223.38,223.38,0
"293","2018-06-11",222.65,222.98,222.65,222.98,222.98,0
"294","2018-06-08",222.045,222.45,222.045,222.45,222.45,0
"295","2018-06-07",222.285,222.285,221.73,221.73,221.73,17
"296","2018-06-06",221.78,221.785,221.78,221.785,221.785,0
"297","2018-06-05",221.505,222.105,221.505,222.105,222.105,0
"298","2018-06-04",221.605,221.835,221.45,221.835,221.835,208
"299","2018-06-01",219.545,221.075,219.545,221.075,221.075,0
"300","2018-05-31",NA,NA,NA,NA,0,NA
"301","2018-05-30",220.405,220.405,220.305,220.305,220.305,0
"302","2018-05-29",220.785,220.86,220.56,220.77,220.77,307
"303","2018-05-28",220.35,221.11,220.35,221.11,221.11,0
"304","2018-05-25",220.465,220.77,220.465,220.625,220.625,475
"305","2018-05-24",219.98,219.98,218.87,218.87,218.87,0
"306","2018-05-23",218.755,219.045,218.645,219.045,219.045,1293
"307","2018-05-22",219.555,219.555,219.31,219.31,219.31,0
"308","2018-05-21",219.56,219.85,218.99,218.99,218.99,2
"309","2018-05-18",217.675,217.865,217.675,217.865,217.865,0
"310","2018-05-17",217.52,218.295,217.435,218.295,218.295,60
"311","2018-05-16",216.195,217.635,216.195,217.39,217.39,28
"312","2018-05-15",215.425,215.8,215.425,215.465,215.465,100
"313","2018-05-14",216.065,216.065,215.735,215.735,215.735,0
"314","2018-05-11",215.815,215.815,215.56,215.56,215.56,0
"315","2018-05-10",215.05,215.44,215.05,215.44,215.44,0
"316","2018-05-09",213.265,213.365,213.185,213.185,213.185,106
"317","2018-05-08",211.45,212.31,211.45,212.31,212.31,807
"318","2018-05-07",211.205,211.8,211.205,211.8,211.8,1050
"319","2018-05-04",207.365,209.9,207.365,209.9,209.9,39
"320","2018-05-03",207.36,207.36,204.975,205.21,205.21,361
"321","2018-05-02",208.41,208.61,208.41,208.61,208.61,0
"322","2018-04-30",208.205,208.845,208.205,208.845,208.845,0
"323","2018-04-27",208.43,208.72,207.935,207.935,207.935,2533
"324","2018-04-26",204.505,206.825,204.495,206.825,206.825,162
"325","2018-04-25",203.255,203.92,202.385,203.645,203.645,1594
"326","2018-04-24",206.84,206.84,206.1,206.1,206.1,0
"327","2018-04-23",205.4,206.975,205.33,206.975,206.975,158
"328","2018-04-20",205.565,206.18,205.365,205.365,205.365,54
"329","2018-04-19",206.22,206.22,205.675,205.675,205.675,0
"330","2018-04-18",206.755,206.945,206.755,206.83,206.83,3
"331","2018-04-17",204.475,206.67,204.475,206.67,206.67,1701
"332","2018-04-16",203.64,203.64,203.61,203.61,203.61,0
"333","2018-04-13",203.925,203.925,203.52,203.52,203.52,0
"334","2018-04-12",201.69,204.135,201.69,204.135,204.135,39
"335","2018-04-11",201.3,201.68,199.955,201.68,201.68,56
"336","2018-04-10",202.84,203.165,202.61,203.165,203.165,450
"337","2018-04-09",201.52,202.155,201.52,202.155,202.155,220
"338","2018-04-06",NA,NA,NA,NA,0,NA
"339","2018-04-05",204.23,205.945,204.23,205.945,205.945,0
"340","2018-04-04",199.83,199.83,199.72,199.72,199.72,0
"341","2018-04-03",197.83,199.65,197.83,199.235,199.235,444
"342","2018-03-29",199.865,201.88,199.745,201.63,201.63,454
"343","2018-03-28",198.6,199.735,198.075,198.695,198.695,458
"344","2018-03-27",202.105,202.865,201.605,202.415,202.415,563
"345","2018-03-26",199.875,199.875,197.905,197.905,197.905,30
"346","2018-03-23",202.035,202.035,201.04,201.04,201.04,130
"347","2018-03-22",205.49,205.49,205.235,205.235,205.235,0
"348","2018-03-21",208.81,209.655,208.05,209.655,209.655,1782
"349","2018-03-20",207.53,208.9,207.53,208.9,208.9,0
"350","2018-03-19",210.805,210.805,207.085,207.085,207.085,2346
"351","2018-03-16",210.035,211.28,210.035,211.28,211.28,0
"352","2018-03-15",209.965,210.63,209.965,210.63,210.63,0
"353","2018-03-14",210.635,210.635,209.575,209.575,209.575,0
"354","2018-03-13",213.14,213.14,211.06,211.06,211.06,202
"355","2018-03-12",213.46,213.785,213.005,213.005,213.005,786
"356","2018-03-09",209.435,211.585,209.435,211.585,211.585,1528
"357","2018-03-08",206.8,208.495,206.8,208.495,208.495,429
"358","2018-03-07",205.02,206.46,204.39,206.46,206.46,1445
"359","2018-03-06",208.05,208.05,205.905,205.905,205.905,64
"360","2018-03-05",204.465,206.515,204.455,206.515,206.515,2005
"361","2018-03-02",205.27,205.27,203.355,203.42,203.42,55
"362","2018-03-01",209.62,209.62,208.895,208.895,208.895,0
"363","2018-02-28",211.53,211.66,211.005,211.005,211.005,1897
"364","2018-02-27",211.985,212.825,211.985,212.825,212.825,0
"365","2018-02-26",209.96,211.23,209.96,210.865,210.865,2690
"366","2018-02-23",208.185,208.33,208.15,208.33,208.33,53
"367","2018-02-22",206.25,208.005,206.25,208.005,208.005,5951
"368","2018-02-21",207.345,209.06,207.345,209.06,209.06,0
"369","2018-02-20",207.475,208.24,206.59,208.24,208.24,2535
"370","2018-02-19",207.77,207.77,206.915,206.915,206.915,0
"371","2018-02-16",205.76,207.22,205.76,207.22,207.22,0
"372","2018-02-15",204.075,204.67,203.6,203.6,203.6,2201
"373","2018-02-14",203.13,203.13,202.655,202.655,202.655,0
"374","2018-02-13",202.015,202.015,201.125,201.125,201.125,0
"375","2018-02-12",201.715,202.185,201.715,202.185,202.185,0
"376","2018-02-09",200.285,200.285,198.78,198.78,198.78,0
"377","2018-02-08",205.115,205.27,203.2,203.2,203.2,39
"378","2018-02-07",202.705,207.56,202.705,207.56,207.56,2022
"379","2018-02-06",197.395,202.805,196.665,199.235,199.235,4468
"380","2018-02-05",207.17,208.5,207.17,208.15,208.15,106
"381","2018-02-02",211.14,211.14,210.655,210.655,210.655,0
"382","2018-02-01",214.235,214.235,212.6,212.69,212.69,1646
"383","2018-01-31",213.705,213.705,213.415,213.415,213.415,17
"384","2018-01-30",216.14,216.14,214.225,214.225,214.225,32
"385","2018-01-29",217.09,217.455,216.505,217.455,217.455,3975
"386","2018-01-26",213.88,215.69,213.88,215.69,215.69,0
"387","2018-01-25",214.4,214.4,213.455,213.455,213.455,1050
"388","2018-01-24",216.335,216.335,214.805,214.805,214.805,650
"389","2018-01-23",217.52,217.52,216.545,217.035,217.035,3007
"390","2018-01-22",215.12,215.775,215.12,215.775,215.775,0
"391","2018-01-19",213.77,215.08,213.77,215.045,215.045,2326
"392","2018-01-18",215.3,215.3,214.465,214.53,214.53,985
"393","2018-01-17",213.585,214.485,213.585,214.125,214.125,500
"394","2018-01-16",214.285,215.655,214.285,214.585,214.585,500
"395","2018-01-15",214.48,214.48,213.64,213.715,213.715,1090
"396","2018-01-12",215.68,215.68,214.6,215.225,215.225,3
"397","2018-01-11",216.38,216.38,214.755,214.755,214.755,69
"398","2018-01-10",215.835,215.835,215.01,215.34,215.34,1
"399","2018-01-09",215.695,216.955,215.695,216.955,216.955,0
"400","2018-01-08",214.68,214.87,214.68,214.87,214.87,20
"401","2018-01-05",212.16,213.17,212.16,213.17,213.17,0
"402","2018-01-04",211.715,211.85,211.505,211.71,211.71,417
"403","2018-01-03",210.11,211.175,210.11,211.175,211.175,0
"404","2018-01-02",208.77,209.35,208.77,209.35,209.35,0
"405","2017-12-29",210.915,210.915,209.56,209.56,209.56,0
"406","2017-12-28",210.87,210.87,210.49,210.49,210.49,0
"407","2017-12-27",211.785,211.785,211.65,211.65,211.65,25
"408","2017-12-22",212.635,212.635,212.18,212.18,212.18,0
"409","2017-12-21",211.56,212.36,211.54,212.36,212.36,38
"410","2017-12-20",212.815,212.815,211.62,211.62,211.62,20
"411","2017-12-19",213.875,214.32,213.2,213.2,213.2,888
"412","2017-12-18",213.78,213.86,213.655,213.78,213.78,520
"413","2017-12-15",211.175,213.025,211.17,213.025,213.025,25
"414","2017-12-14",211.54,212.105,211.54,212,212,350
"415","2017-12-13",212.59,212.685,212.59,212.685,212.685,0
"416","2017-12-12",211.92,213.385,211.92,213.385,213.385,180
"417","2017-12-11",211.2,211.2,210.85,210.85,210.85,0
"418","2017-12-08",210.76,211.195,210.76,210.8,210.8,1323
"419","2017-12-07",209.11,209.565,209.11,209.565,209.565,0
"420","2017-12-06",207.765,209.1,207.765,209.1,209.1,0
"421","2017-12-05",208.72,209.77,208.72,209.77,209.77,0
"422","2017-12-04",210.21,210.64,209.88,209.88,209.88,500
"423","2017-12-01",207.925,207.925,205.765,205.765,205.765,54
"424","2017-11-30",207.585,208.035,207.585,208.035,208.035,0
"425","2017-11-29",207.5,207.92,207.5,207.615,207.615,700
"426","2017-11-28",205.295,206.29,205.295,206.105,206.105,460
"427","2017-11-27",204.415,205.05,204.415,204.545,204.545,450
"428","2017-11-24",205.73,205.73,204.42,204.42,204.42,730
