Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H1,Short,SPX500,3558565,1,2012-11-13 13:00,2012-11-14 01:00,1375.40,1378.40,-2.61,0.00,Reverse
H1,Long,USD/JPY,3559368,1,2012-11-13 21:00,2012-11-14 03:00,79.3870,79.5040,0.86,0.00,Reverse
H1,Long,EUR/USD,3559569,1,2012-11-13 23:00,2012-11-14 12:00,1.27026,1.27412,3.86,0.00,Reverse
H1,Short,EUR/USD,3560873,1,2012-11-14 12:00,2012-11-14 16:00,1.27412,1.27295,1.17,0.00,Reverse
H1,Short,USD/JPY,3559972,1,2012-11-14 03:00,2012-11-14 17:00,79.5040,80.2100,-5.17,0.00,Reverse
H1,Long,EUR/USD,3561274,1,2012-11-14 16:00,2012-11-14 21:00,1.27295,1.27344,0.49,0.00,Reverse
H1,Short,EUR/USD,3561776,1,2012-11-14 21:00,2012-11-14 22:00,1.27344,1.27353,-0.09,0.00,Reverse
H1,Long,SPX500,3559771,1,2012-11-14 01:00,2012-11-15 02:00,1378.40,1357.40,-18.29,0.00,Reverse
H1,Long,EUR/USD,3561877,1,2012-11-14 22:00,2012-11-15 06:00,1.27353,1.27449,0.96,0.00,Reverse
H1,Long,USD/JPY,3561375,1,2012-11-14 17:00,2012-11-15 06:00,80.2100,80.9200,5.20,0.00,Reverse
H1,Short,SPX500,3562278,1,2012-11-15 02:00,2012-11-15 15:00,1357.40,1353.90,3.05,0.00,Reverse
H1,Short,USD/JPY,3562680,1,2012-11-15 06:00,2012-11-15 17:00,80.9200,81.1650,-1.79,0.00,Reverse
H1,Short,EUR/USD,3562679,1,2012-11-15 06:00,2012-11-15 21:00,1.27449,1.27706,-2.57,0.00,Reverse
H1,Long,SPX500,3563581,1,2012-11-15 15:00,2012-11-16 03:00,1353.90,1351.40,-2.18,0.00,Reverse
H4,Short,EUR/USD,3559670,1,2012-11-14 00:00,2012-11-16 08:00,1.27099,1.27572,-4.73,0.00,Reverse
H1,Long,USD/JPY,3563782,1,2012-11-15 17:00,2012-11-16 08:00,81.1650,81.1220,-0.31,0.00,Reverse
H4,Short,USD/JPY,3554851,1,2012-11-12 00:00,2012-11-16 16:00,79.4690,81.2600,-13.12,0.00,Reverse
H4,Long,SPX500,3558866,1,2012-11-13 16:00,2012-11-16 16:00,1388.40,1348.10,-35.10,0.00,Reverse
H1,Long,EUR/USD,3564183,1,2012-11-15 21:00,2012-11-18 23:00,1.27706,1.27415,-2.91,0.00,Reverse
H1,Short,USD/JPY,3565286,1,2012-11-16 08:00,2012-11-19 05:00,81.1220,81.1610,-0.29,0.00,Reverse
H1,Short,SPX500,3564784,1,2012-11-16 03:00,2012-11-19 08:00,1351.40,1366.10,-12.80,0.00,Reverse
H1,Short,EUR/USD,3566489,1,2012-11-18 23:00,2012-11-19 15:00,1.27415,1.27866,-4.51,0.00,Reverse
H1,Long,SPX500,3567391,1,2012-11-19 08:00,2012-11-19 18:00,1366.10,1381.60,13.50,0.00,Reverse
H1,Long,USD/JPY,3567090,1,2012-11-19 05:00,2012-11-19 20:00,81.1610,81.3510,1.39,0.00,Reverse
